properties{
  x = 0,
  y = 0,
  width = 256,
  height = 144,
  min_layer = 0,
  max_layer = 2,
  tileset = "zoria_house_beach",
  music = "avgvst/09 - Z 339 - Here the Deities approve",
}

tile{
  layer = 0,
  x = 32,
  y = 80,
  width = 192,
  height = 32,
  pattern = "water",
  tileset = "zoria",
}

tile{
  layer = 0,
  x = 0,
  y = 16,
  width = 16,
  height = 112,
  pattern = "platform.right",
}

tile{
  layer = 0,
  x = 144,
  y = 128,
  width = 96,
  height = 16,
  pattern = "platform.top",
}

tile{
  layer = 0,
  x = 240,
  y = 16,
  width = 16,
  height = 112,
  pattern = "platform.left",
}

tile{
  layer = 0,
  x = 16,
  y = 0,
  width = 224,
  height = 16,
  pattern = "platform.bottom",
}

tile{
  layer = 0,
  x = 16,
  y = 16,
  width = 224,
  height = 16,
  pattern = "wall_16",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 16,
  height = 16,
  pattern = "platform.corner.top_left",
}

tile{
  layer = 0,
  x = 240,
  y = 0,
  width = 16,
  height = 16,
  pattern = "platform.corner.top_right",
}

tile{
  layer = 0,
  x = 0,
  y = 128,
  width = 16,
  height = 16,
  pattern = "platform.corner.bottom_left",
}

tile{
  layer = 0,
  x = 240,
  y = 128,
  width = 16,
  height = 16,
  pattern = "platform.corner.bottom_right",
}

tile{
  layer = 0,
  x = 96,
  y = 128,
  width = 16,
  height = 16,
  pattern = "platform.top_right",
}

tile{
  layer = 0,
  x = 128,
  y = 128,
  width = 16,
  height = 16,
  pattern = "platform.top_left",
}

tile{
  layer = 0,
  x = 16,
  y = 128,
  width = 80,
  height = 16,
  pattern = "platform.top",
}

tile{
  layer = 0,
  x = 224,
  y = 112,
  width = 16,
  height = 16,
  pattern = "282",
  tileset = "zoria",
}

tile{
  layer = 0,
  x = 16,
  y = 80,
  width = 16,
  height = 32,
  pattern = "277",
  tileset = "zoria",
}

tile{
  layer = 0,
  x = 32,
  y = 80,
  width = 16,
  height = 16,
  pattern = "water.shine",
  tileset = "zoria",
}

tile{
  layer = 0,
  x = 224,
  y = 64,
  width = 16,
  height = 16,
  pattern = "276",
  tileset = "zoria",
}

tile{
  layer = 0,
  x = 32,
  y = 112,
  width = 192,
  height = 16,
  pattern = "281",
  tileset = "zoria",
}

tile{
  layer = 0,
  x = 16,
  y = 112,
  width = 16,
  height = 16,
  pattern = "280",
  tileset = "zoria",
}

tile{
  layer = 0,
  x = 224,
  y = 80,
  width = 16,
  height = 32,
  pattern = "279",
  tileset = "zoria",
}

tile{
  layer = 0,
  x = 32,
  y = 64,
  width = 192,
  height = 16,
  pattern = "275",
  tileset = "zoria",
}

tile{
  layer = 0,
  x = 16,
  y = 64,
  width = 16,
  height = 16,
  pattern = "274",
  tileset = "zoria",
}

tile{
  layer = 0,
  x = 144,
  y = 80,
  width = 16,
  height = 16,
  pattern = "water.shine",
  tileset = "zoria",
}

tile{
  layer = 0,
  x = 208,
  y = 96,
  width = 16,
  height = 16,
  pattern = "water.shine",
  tileset = "zoria",
}

tile{
  layer = 0,
  x = 176,
  y = 96,
  width = 16,
  height = 16,
  pattern = "water.shine",
  tileset = "zoria",
}

tile{
  layer = 0,
  x = 48,
  y = 96,
  width = 16,
  height = 16,
  pattern = "water.shine",
  tileset = "zoria",
}

tile{
  layer = 0,
  x = 160,
  y = 64,
  width = 32,
  height = 32,
  pattern = "tree.dead",
  tileset = "zoria",
}

tile{
  layer = 0,
  x = 16,
  y = 48,
  width = 48,
  height = 16,
  pattern = "wood_flooring",
}

tile{
  layer = 0,
  x = 192,
  y = 48,
  width = 48,
  height = 16,
  pattern = "wood_flooring",
}

tile{
  layer = 0,
  x = 80,
  y = 48,
  width = 16,
  height = 16,
  pattern = "wood_flooring",
}

tile{
  layer = 0,
  x = 32,
  y = 96,
  width = 16,
  height = 16,
  pattern = "beach_ball",
}

tile{
  layer = 0,
  x = 176,
  y = 8,
  width = 64,
  height = 16,
  pattern = "flags",
}

tile{
  layer = 0,
  x = 16,
  y = 32,
  width = 224,
  height = 16,
  pattern = "platform.base.bottom",
}

tile{
  layer = 0,
  x = 16,
  y = 16,
  width = 224,
  height = 16,
  pattern = "anchor",
}

tile{
  layer = 0,
  x = 112,
  y = 112,
  width = 16,
  height = 16,
  pattern = "floor",
}

teletransporter{
  layer = 0,
  x = 112,
  y = 128,
  width = 16,
  height = 16,
  destination_map = "overworld",
  destination = "outside_house_3",
  sound = "door_open",
}

destination{
  name = "destination",
  layer = 0,
  x = 120,
  y = 133,
  direction = 1,
}

jumper{
  layer = 0,
  x = 16,
  y = 64,
  width = 224,
  height = 8,
  direction = 6,
  jump_length = 32,
}

jumper{
  layer = 0,
  x = 16,
  y = 120,
  width = 96,
  height = 8,
  direction = 2,
  jump_length = 32,
}

jumper{
  layer = 0,
  x = 128,
  y = 120,
  width = 112,
  height = 8,
  direction = 2,
  jump_length = 32,
}

jumper{
  layer = 0,
  x = 104,
  y = 104,
  width = 32,
  height = 8,
  direction = 2,
  jump_length = 32,
}

jumper{
  layer = 0,
  x = 104,
  y = 104,
  width = 8,
  height = 24,
  direction = 4,
  jump_length = 32,
}

jumper{
  layer = 0,
  x = 128,
  y = 104,
  width = 8,
  height = 24,
  direction = 0,
  jump_length = 32,
}

